step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.5,0.35,0.48,trot,0.55,32,32,32,1.0,1.0,0.2274277837499813
0.5,0.35,0.48,trot,0.6,32,32,32,1.0,1.0,0.22826560202134166
0.5,0.35,0.48,trot,0.65,32,32,32,1.0,1.0,0.23592137200195362
0.5,0.35,0.48,trot,0.7,32,32,32,1.0,1.0,0.24721361983011741
0.5,0.35,0.48,trot,0.75,32,32,32,1.0,1.0,0.2608707307687267
0.5,0.35,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.75,32,32,32,1.0,1.0,0.42017260976651727
0.5,0.4,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,trot,0.55,32,32,32,1.0,1.0,0.21688876449158795
0.5,0.4,0.48,trot,0.6,32,32,32,1.0,1.0,0.22109312051353322
0.5,0.4,0.48,trot,0.65,32,32,32,1.0,1.0,0.2278200211696002
0.5,0.4,0.48,trot,0.7,32,32,32,1.0,1.0,0.24241377322138316
0.5,0.4,0.48,trot,0.75,32,32,32,1.0,1.0,0.25415831435821823
0.5,0.4,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.75,32,32,32,1.0,1.0,0.3992403724030351
