gait,speed,period,step_width,command_df,trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.4,0.48,0.3,0.625,32,1.0,1,0.21657950565472858,0.21657950565472858,1.0,1.0
trot,0.4,0.48,0.3,0.75,32,1.0,1,0.29793171971228183,0.29793171971228183,1.0,1.0
trot,0.4,0.48,0.4,0.5,32,1.0,1,0.21852107025745107,0.21852107025745107,1.0,1.0
trot,0.4,0.48,0.4,0.625,32,1.0,1,0.2317790897619661,0.2317790897619661,1.0,1.0
trot,0.4,0.48,0.4,0.75,32,1.0,1,0.3050810758183141,0.3050810758183141,1.0,1.0
trot,0.4,0.48,0.5,0.5,32,1.0,1,0.25666914944452174,0.25666914944452174,1.0,1.0
trot,0.4,0.48,0.5,0.625,32,1.0,1,0.2472186496692401,0.2472186496692401,1.0,1.0
trot,0.4,0.48,0.5,0.75,32,1.0,1,0.31711651910087957,0.31711651910087957,1.0,1.0
trot,0.4,0.54,0.1,0.5,32,0.0,0,,0.1562430372699361,0.1875,0.0
trot,0.4,0.54,0.1,0.625,32,1.0,1,0.20396501522695681,0.20396501522695681,1.0,1.0
trot,0.4,0.54,0.1,0.75,32,1.0,1,0.32478960077753694,0.32478960077753694,1.0,1.0
trot,0.4,0.54,0.2,0.5,32,0.0,0,,0.17009266416508162,1.0,0.0
trot,0.4,0.54,0.2,0.625,32,1.0,1,0.21535623040890628,0.21535623040890628,1.0,1.0
trot,0.4,0.54,0.2,0.75,32,1.0,1,0.3316099145084145,0.3316099145084145,1.0,1.0
trot,0.4,0.54,0.3,0.5,32,0.0,0,,0.19407384694141808,1.0,0.0
trot,0.4,0.54,0.3,0.625,32,1.0,1,0.22092961842041028,0.22092961842041028,1.0,1.0
trot,0.4,0.54,0.3,0.75,32,1.0,1,0.32949042332296674,0.32949042332296674,1.0,1.0
trot,0.4,0.54,0.4,0.5,32,0.0,0,,0.21581592537525685,1.0,0.0
trot,0.4,0.54,0.4,0.625,32,1.0,1,0.23657541822391157,0.23657541822391157,1.0,1.0
trot,0.4,0.54,0.4,0.75,32,1.0,1,0.32948369675375333,0.32948369675375333,1.0,1.0
trot,0.4,0.54,0.5,0.5,32,0.0,0,,0.25099173830543486,1.0,0.0
trot,0.4,0.54,0.5,0.625,32,1.0,1,0.25722377126571444,0.25722377126571444,1.0,1.0
trot,0.4,0.54,0.5,0.75,32,0.96875,1,0.32219955573182507,0.32221573721761876,0.96875,1.0
walk,0.25,0.4,0.1,0.75,32,0.0,0,,0.4912918232115021,0.78125,0.0
walk,0.25,0.4,0.1,0.8,32,0.0,0,,0.5094984393476819,1.0,0.0
walk,0.25,0.4,0.1,0.85,32,1.0,1,0.45448751057203474,0.45448751057203474,1.0,1.0
walk,0.25,0.4,0.1,0.9,32,0.0,0,,0.45965971440067077,1.0,0.0
walk,0.25,0.4,0.2,0.75,32,0.0,0,,0.4749917040102014,1.0,0.0
walk,0.25,0.4,0.2,0.8,32,0.0,0,,0.5370726738598874,1.0,0.0
walk,0.25,0.4,0.2,0.85,32,0.0625,0,,0.5041921751008986,1.0,0.0625
walk,0.25,0.4,0.2,0.9,32,0.0,0,,0.4967939168349931,1.0,0.0
walk,0.25,0.4,0.3,0.75,32,0.0,0,,0.48713349662809247,1.0,0.0
walk,0.25,0.4,0.3,0.8,32,0.0,0,,0.5212121097182019,1.0,0.0
walk,0.25,0.4,0.3,0.85,32,1.0,1,0.54063664010664,0.54063664010664,1.0,1.0
walk,0.25,0.4,0.3,0.9,32,0.0,0,,0.555345328518571,1.0,0.0
walk,0.25,0.4,0.4,0.75,32,0.0,0,,0.5136303727885236,1.0,0.0
walk,0.25,0.4,0.4,0.8,32,0.0,0,,0.5457435816155787,1.0,0.0
walk,0.25,0.4,0.4,0.85,32,1.0,1,0.5779158325835146,0.5779158325835146,1.0,1.0
walk,0.25,0.4,0.4,0.9,32,0.0,0,,0.587300967485044,1.0,0.0
walk,0.25,0.4,0.5,0.75,32,0.0,0,,0.5433697820600143,1.0,0.0
