gait,policy,condition,period,speed,step_width,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,mean_travel_m,mean_end_time_s
trot,tuned,nominal,0.36,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00318369269371,13.1878125
trot,tuned,nominal,0.36,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003566466271877,12.872187499999999
trot,tuned,nominal,0.36,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003582134842873,13.110937500000002
trot,tuned,nominal,0.36,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003542892634869,12.835
trot,tuned,nominal,0.36,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003489270806313,12.8090625
trot,tuned,nominal,0.48,0.25,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003725692629814,15.099999999999998
trot,tuned,nominal,0.48,0.25,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002312198281288,14.7859375
trot,tuned,nominal,0.48,0.25,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002591997385025,15.388437500000002
trot,tuned,nominal,0.48,0.25,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0026508420705795,15.415937500000002
trot,tuned,nominal,0.48,0.25,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002711243927479,15.595625
trot,tuned,nominal,0.48,0.25,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003152392804623,15.814374999999998
trot,tuned,nominal,0.48,0.25,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0026847049593925,15.4959375
trot,tuned,nominal,0.48,0.25,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002569705247879,15.920000000000002
trot,tuned,nominal,0.48,0.25,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0033164992928505,16.0253125
trot,tuned,nominal,0.48,0.25,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0026485323905945,15.7184375
trot,tuned,nominal,0.48,0.25,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002347953617573,15.630937500000002
trot,tuned,nominal,0.48,0.25,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002718962728977,15.919687499999998
trot,tuned,nominal,0.48,0.25,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002507872879505,15.4034375
trot,tuned,nominal,0.48,0.25,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002776853740215,15.1284375
trot,tuned,nominal,0.48,0.25,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.00379229336977,15.649375
trot,tuned,nominal,0.48,0.30,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002450153231621,13.005625000000002
trot,tuned,nominal,0.48,0.30,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0031315460801125,12.623125000000002
trot,tuned,nominal,0.48,0.30,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0030608251690865,13.188750000000002
trot,tuned,nominal,0.48,0.30,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002998806536198,13.166875
trot,tuned,nominal,0.48,0.30,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00351057946682,13.1715625
trot,tuned,nominal,0.48,0.30,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.00281785428524,13.4015625
trot,tuned,nominal,0.48,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.00324060022831,13.044375000000002
trot,tuned,nominal,0.48,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0030034855008125,13.3759375
trot,tuned,nominal,0.48,0.30,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003603100776672,13.525000000000002
